fecha,valor,porcentaje,indicator,region
2023-04-01,128.18941666666666,1,Índice servicios corregido,pais vasco
2023-05-01,128.63308333333333,1,Índice servicios corregido,pais vasco
2023-06-01,127.23075,1,Índice servicios corregido,pais vasco
2023-07-01,127.21383333333335,1,Índice servicios corregido,pais vasco
2023-08-01,126.5479166666667,1,Índice servicios corregido,pais vasco
2023-09-01,126.44116666666667,1,Índice servicios corregido,pais vasco
2023-10-01,126.39875000000002,1,Índice servicios corregido,pais vasco
2023-11-01,126.44941666666666,1,Índice servicios corregido,pais vasco
2023-12-01,126.48241666666668,1,Índice servicios corregido,pais vasco
2023-01-01,3.836696472538335,1,Annual variation,pais vasco
2023-02-01,3.2301673108848106,1,Annual variation,pais vasco
2023-03-01,4.082682421842258,1,Annual variation,pais vasco
2023-04-01,5.805008809518163,1,Annual variation,pais vasco
2023-05-01,5.1792753834790695,1,Annual variation,pais vasco
2023-06-01,2.609518472170487,1,Annual variation,pais vasco
2023-07-01,1.642444039502281,1,Annual variation,pais vasco
2023-08-01,1.1140703742633784,1,Annual variation,pais vasco
2023-09-01,0.4070478780565159,1,Annual variation,pais vasco
2023-10-01,0.0476402907311385,1,Annual variation,pais vasco
2023-11-01,-0.4573129552090169,1,Annual variation,pais vasco
2023-12-01,-0.7734743668771707,1,Annual variation,pais vasco
2023-01-01,1.0588669831508373,1,Corrected annual variation,pais vasco
2023-02-01,0.4465671389456623,1,Corrected annual variation,pais vasco
2023-03-01,0.802674655691674,1,Corrected annual variation,pais vasco
2023-04-01,2.3021207629133342,1,Corrected annual variation,pais vasco
2023-05-01,2.652026510289806,1,Corrected annual variation,pais vasco
2023-06-01,0.773173251136101,1,Corrected annual variation,pais vasco
2023-07-01,1.0770045686287428,1,Corrected annual variation,pais vasco
2023-08-01,0.7668118318349183,1,Corrected annual variation,pais vasco
2023-09-01,0.2278304582041252,1,Corrected annual variation,pais vasco
2023-10-01,0.1180861203594078,1,Corrected annual variation,pais vasco
2023-11-01,-0.232227098640625,1,Corrected annual variation,pais vasco
2023-12-01,-0.4719387587820369,1,Corrected annual variation,pais vasco
2023-01-01,160.78549999999998,1,Índice servicios,principado de asturias
2023-02-01,160.48583333333335,1,Índice servicios,principado de asturias
2023-03-01,161.36875,1,Índice servicios,principado de asturias
2023-04-01,163.54033333333334,1,Índice servicios,principado de asturias
2023-05-01,163.28591666666668,1,Índice servicios,principado de asturias
2023-06-01,161.12208333333336,1,Índice servicios,principado de asturias
2023-07-01,160.45716666666667,1,Índice servicios,principado de asturias
2023-08-01,159.92833333333334,1,Índice servicios,principado de asturias
2023-09-01,159.61691666666667,1,Índice servicios,principado de asturias
2023-10-01,159.60483333333335,1,Índice servicios,principado de asturias
2023-11-01,159.67808333333332,1,Índice servicios,principado de asturias
2023-12-01,159.6315,1,Índice servicios,principado de asturias
2023-01-01,126.99958333333332,1,Índice servicios corregido,principado de asturias
2023-02-01,126.74833333333332,1,Índice servicios corregido,principado de asturias
2023-03-01,126.9335,1,Índice servicios corregido,principado de asturias
2023-04-01,128.18941666666666,1,Índice servicios corregido,principado de asturias
2023-05-01,128.63308333333333,1,Índice servicios corregido,principado de asturias
2023-06-01,127.23075,1,Índice servicios corregido,principado de asturias
2023-07-01,127.21383333333335,1,Índice servicios corregido,principado de asturias
2023-08-01,126.5479166666667,1,Índice servicios corregido,principado de asturias
2023-09-01,126.44116666666667,1,Índice servicios corregido,principado de asturias
2023-10-01,126.39875000000002,1,Índice servicios corregido,principado de asturias
2023-11-01,126.44941666666666,1,Índice servicios corregido,principado de asturias
2023-12-01,126.48241666666668,1,Índice servicios corregido,principado de asturias
2023-01-01,3.836696472538335,1,Annual variation,principado de asturias
2023-02-01,3.2301673108848106,1,Annual variation,principado de asturias
2023-03-01,4.082682421842258,1,Annual variation,principado de asturias
2023-04-01,5.805008809518163,1,Annual variation,principado de asturias
2023-05-01,5.1792753834790695,1,Annual variation,principado de asturias
2023-06-01,2.609518472170487,1,Annual variation,principado de asturias
2023-07-01,1.642444039502281,1,Annual variation,principado de asturias
2023-08-01,1.1140703742633784,1,Annual variation,principado de asturias
2023-09-01,0.4070478780565159,1,Annual variation,principado de asturias
2023-10-01,0.0476402907311385,1,Annual variation,principado de asturias
2023-11-01,-0.4573129552090169,1,Annual variation,principado de asturias
2023-12-01,-0.7734743668771707,1,Annual variation,principado de asturias
2023-01-01,1.0588669831508373,1,Corrected annual variation,principado de asturias
2023-02-01,0.4465671389456623,1,Corrected annual variation,principado de asturias
2023-03-01,0.802674655691674,1,Corrected annual variation,principado de asturias
2023-04-01,2.3021207629133342,1,Corrected annual variation,principado de asturias
2023-05-01,2.652026510289806,1,Corrected annual variation,principado de asturias
2023-06-01,0.773173251136101,1,Corrected annual variation,principado de asturias
2023-07-01,1.0770045686287428,1,Corrected annual variation,principado de asturias
2023-08-01,0.7668118318349183,1,Corrected annual variation,principado de asturias
2023-09-01,0.2278304582041252,1,Corrected annual variation,principado de asturias
2023-10-01,0.1180861203594078,1,Corrected annual variation,principado de asturias
2023-11-01,-0.232227098640625,1,Corrected annual variation,principado de asturias
2023-12-01,-0.4719387587820369,1,Corrected annual variation,principado de asturias
2023-01-01,160.78549999999998,1,Índice servicios,comunidad de madrid
2023-02-01,160.48583333333335,1,Índice servicios,comunidad de madrid
2023-03-01,161.36875,1,Índice servicios,comunidad de madrid
2023-04-01,163.54033333333334,1,Índice servicios,comunidad de madrid
2023-05-01,163.28591666666668,1,Índice servicios,comunidad de madrid
2023-06-01,161.12208333333336,1,Índice servicios,comunidad de madrid
2023-07-01,160.45716666666667,1,Índice servicios,comunidad de madrid
2023-08-01,159.92833333333334,1,Índice servicios,comunidad de madrid
2023-09-01,159.61691666666667,1,Índice servicios,comunidad de madrid
2023-10-01,159.60483333333335,1,Índice servicios,comunidad de madrid
2023-11-01,159.67808333333332,1,Índice servicios,comunidad de madrid
2023-12-01,159.6315,1,Índice servicios,comunidad de madrid
2023-01-01,126.99958333333332,1,Índice servicios corregido,comunidad de madrid
2023-02-01,126.74833333333332,1,Índice servicios corregido,comunidad de madrid
2023-03-01,126.9335,1,Índice servicios corregido,comunidad de madrid
2023-04-01,128.18941666666666,1,Índice servicios corregido,comunidad de madrid
2023-05-01,128.63308333333333,1,Índice servicios corregido,comunidad de madrid
2023-06-01,127.23075,1,Índice servicios corregido,comunidad de madrid
2023-07-01,127.21383333333335,1,Índice servicios corregido,comunidad de madrid
2023-08-01,126.5479166666667,1,Índice servicios corregido,comunidad de madrid
2023-09-01,126.44116666666667,1,Índice servicios corregido,comunidad de madrid
2023-10-01,126.39875000000002,1,Índice servicios corregido,comunidad de madrid
2023-11-01,126.44941666666666,1,Índice servicios corregido,comunidad de madrid
2023-12-01,126.48241666666668,1,Índice servicios corregido,comunidad de madrid
2023-01-01,3.836696472538335,1,Annual variation,comunidad de madrid
2023-02-01,3.2301673108848106,1,Annual variation,comunidad de madrid
2023-03-01,4.082682421842258,1,Annual variation,comunidad de madrid
2023-04-01,5.805008809518163,1,Annual variation,comunidad de madrid
2023-05-01,5.1792753834790695,1,Annual variation,comunidad de madrid
2023-06-01,2.609518472170487,1,Annual variation,comunidad de madrid
2023-07-01,1.642444039502281,1,Annual variation,comunidad de madrid
2023-08-01,1.1140703742633784,1,Annual variation,comunidad de madrid
2023-09-01,0.4070478780565159,1,Annual variation,comunidad de madrid
2023-10-01,0.0476402907311385,1,Annual variation,comunidad de madrid
2023-11-01,-0.4573129552090169,1,Annual variation,comunidad de madrid
2023-12-01,-0.7734743668771707,1,Annual variation,comunidad de madrid
2023-01-01,1.0588669831508373,1,Corrected annual variation,comunidad de madrid
2023-02-01,0.4465671389456623,1,Corrected annual variation,comunidad de madrid
2023-03-01,0.802674655691674,1,Corrected annual variation,comunidad de madrid
2023-04-01,2.3021207629133342,1,Corrected annual variation,comunidad de madrid
2023-05-01,2.652026510289806,1,Corrected annual variation,comunidad de madrid
2023-06-01,0.773173251136101,1,Corrected annual variation,comunidad de madrid
2023-07-01,1.0770045686287428,1,Corrected annual variation,comunidad de madrid
2023-08-01,0.7668118318349183,1,Corrected annual variation,comunidad de madrid
2023-09-01,0.2278304582041252,1,Corrected annual variation,comunidad de madrid
2023-10-01,0.1180861203594078,1,Corrected annual variation,comunidad de madrid
2023-11-01,-0.232227098640625,1,Corrected annual variation,comunidad de madrid
2023-12-01,-0.4719387587820369,1,Corrected annual variation,comunidad de madrid
2023-01-01,160.78549999999998,1,Índice servicios,comunidad de navarra
2023-02-01,160.48583333333335,1,Índice servicios,comunidad de navarra
2023-03-01,161.36875,1,Índice servicios,comunidad de navarra
2023-04-01,163.54033333333334,1,Índice servicios,comunidad de navarra
2023-05-01,163.28591666666668,1,Índice servicios,comunidad de navarra
2023-06-01,161.12208333333336,1,Índice servicios,comunidad de navarra
2023-07-01,160.45716666666667,1,Índice servicios,comunidad de navarra
2023-08-01,159.92833333333334,1,Índice servicios,comunidad de navarra
2023-09-01,159.61691666666667,1,Índice servicios,comunidad de navarra
2023-10-01,159.60483333333335,1,Índice servicios,comunidad de navarra
2023-11-01,159.67808333333332,1,Índice servicios,comunidad de navarra
2023-12-01,159.6315,1,Índice servicios,comunidad de navarra
2023-01-01,126.99958333333332,1,Índice servicios corregido,comunidad de navarra
2023-02-01,126.74833333333332,1,Índice servicios corregido,comunidad de navarra
2023-03-01,126.9335,1,Índice servicios corregido,comunidad de navarra
2023-04-01,128.18941666666666,1,Índice servicios corregido,comunidad de navarra
2023-05-01,128.63308333333333,1,Índice servicios corregido,comunidad de navarra
2023-06-01,127.23075,1,Índice servicios corregido,comunidad de navarra
2023-07-01,127.21383333333335,1,Índice servicios corregido,comunidad de navarra
2023-08-01,126.5479166666667,1,Índice servicios corregido,comunidad de navarra
2023-09-01,126.44116666666667,1,Índice servicios corregido,comunidad de navarra
2023-10-01,126.39875000000002,1,Índice servicios corregido,comunidad de navarra
2023-11-01,126.44941666666666,1,Índice servicios corregido,comunidad de navarra
2023-12-01,126.48241666666668,1,Índice servicios corregido,comunidad de navarra
2023-01-01,3.836696472538335,1,Annual variation,comunidad de navarra
2023-02-01,3.2301673108848106,1,Annual variation,comunidad de navarra
2023-03-01,4.082682421842258,1,Annual variation,comunidad de navarra
2023-04-01,5.805008809518163,1,Annual variation,comunidad de navarra
2023-05-01,5.1792753834790695,1,Annual variation,comunidad de navarra
2023-06-01,2.609518472170487,1,Annual variation,comunidad de navarra
2023-07-01,1.642444039502281,1,Annual variation,comunidad de navarra
2023-08-01,1.1140703742633784,1,Annual variation,comunidad de navarra
2023-09-01,0.4070478780565159,1,Annual variation,comunidad de navarra
2023-10-01,0.0476402907311385,1,Annual variation,comunidad de navarra
2023-11-01,-0.4573129552090169,1,Annual variation,comunidad de navarra
2023-12-01,-0.7734743668771707,1,Annual variation,comunidad de navarra
2023-01-01,1.0588669831508373,1,Corrected annual variation,comunidad de navarra
2023-02-01,0.4465671389456623,1,Corrected annual variation,comunidad de navarra
2023-03-01,0.802674655691674,1,Corrected annual variation,comunidad de navarra
2023-04-01,2.3021207629133342,1,Corrected annual variation,comunidad de navarra
2023-05-01,2.652026510289806,1,Corrected annual variation,comunidad de navarra
2023-06-01,0.773173251136101,1,Corrected annual variation,comunidad de navarra
2023-07-01,1.0770045686287428,1,Corrected annual variation,comunidad de navarra
2023-08-01,0.7668118318349183,1,Corrected annual variation,comunidad de navarra
2023-09-01,0.2278304582041252,1,Corrected annual variation,comunidad de navarra
2023-10-01,0.1180861203594078,1,Corrected annual variation,comunidad de navarra
2023-11-01,-0.232227098640625,1,Corrected annual variation,comunidad de navarra
2023-12-01,-0.4719387587820369,1,Corrected annual variation,comunidad de navarra
2023-01-01,160.78549999999998,1,Índice servicios,comunidad valenciana
2023-02-01,160.48583333333335,1,Índice servicios,comunidad valenciana
2023-03-01,161.36875,1,Índice servicios,comunidad valenciana
2023-04-01,163.54033333333334,1,Índice servicios,comunidad valenciana
2023-05-01,163.28591666666668,1,Índice servicios,comunidad valenciana
2023-06-01,161.12208333333336,1,Índice servicios,comunidad valenciana
2023-07-01,160.45716666666667,1,Índice servicios,comunidad valenciana
2023-08-01,159.92833333333334,1,Índice servicios,comunidad valenciana
2023-09-01,159.61691666666667,1,Índice servicios,comunidad valenciana
2023-10-01,159.60483333333335,1,Índice servicios,comunidad valenciana
2023-11-01,159.67808333333332,1,Índice servicios,comunidad valenciana
2023-12-01,159.6315,1,Índice servicios,comunidad valenciana
2023-01-01,126.99958333333332,1,Índice servicios corregido,comunidad valenciana
2023-02-01,126.74833333333332,1,Índice servicios corregido,comunidad valenciana
2023-03-01,126.9335,1,Índice servicios corregido,comunidad valenciana
2023-04-01,128.18941666666666,1,Índice servicios corregido,comunidad valenciana
2023-05-01,128.63308333333333,1,Índice servicios corregido,comunidad valenciana
2023-06-01,127.23075,1,Índice servicios corregido,comunidad valenciana
2023-07-01,127.21383333333335,1,Índice servicios corregido,comunidad valenciana
2023-08-01,126.5479166666667,1,Índice servicios corregido,comunidad valenciana
2023-09-01,126.44116666666667,1,Índice servicios corregido,comunidad valenciana
2023-10-01,126.39875000000002,1,Índice servicios corregido,comunidad valenciana
2023-11-01,126.44941666666666,1,Índice servicios corregido,comunidad valenciana
2023-12-01,126.48241666666668,1,Índice servicios corregido,comunidad valenciana
2023-01-01,3.836696472538335,1,Annual variation,comunidad valenciana
2023-02-01,3.2301673108848106,1,Annual variation,comunidad valenciana
